Increasing_precision,Increasing_recall,Increasing_f1-score,Increasing_support,Decreasing_precision,Decreasing_recall,Decreasing_f1-score,Decreasing_support,Neutral_precision,Neutral_recall,Neutral_f1-score,Neutral_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
0.37419096168165417,0.5841902888312618,0.45618322742825224,11183,0.4171947251241651,0.4549444392567,0.4352526019564926,10709,0.4666666666666667,0.002880658436213992,0.0057259713701431495,7290,0.39154273182098553,0.4193507844908287,0.34733846217472525,0.2990539335849627,29182,0.41307366992805916,0.39154273182098553,0.3359728420934332,29182
0.3985888795282224,0.3384601627470267,0.3660718603414092,11183,0.4081896551724138,0.619012045942665,0.4919663067275224,10709,0.3943702843876959,0.18641975308641975,0.253166915052161,7290,0.40343362346652045,0.4003829396961107,0.38129732059203714,0.3704016940403642,29182,0.40105824926981676,0.40343362346652045,0.3840667398969663,29182
0.41402808370044053,0.5378699812214969,0.46789311967640307,11183,0.42592592592592593,0.4574656830703147,0.4411327720498852,10709,0.41465736040609136,0.1792866941015089,0.2503351848304923,7290,0.4187855527379892,0.41820379001081925,0.3915407861311069,0.3864536921855935,29182,0.4185514686492761,0.4187855527379892,0.40372432015069987,29182
0.4326187473728457,0.460162747026737,0.4459658549267701,11183,0.4262527464738819,0.5615837146325521,0.4846482391812394,10709,0.41409691629955947,0.1805212620027435,0.25143293847917464,7290,0.4275238160509903,0.42432280338209577,0.40075590788734416,0.39401567752906136,29182,0.4256556313372327,0.4275238160509903,0.41156467241968153,29182
0.44789275548618124,0.43619780023249577,0.441967926066866,11183,0.42009895264409175,0.6105145204967785,0.4977161997563946,10709,0.41972140762463345,0.15706447187928668,0.22858854062687162,7290,0.4304365704886574,0.42923770525163546,0.40125893086952025,0.38942422215004413,29182,0.4306556586269317,0.4304365704886574,0.4091213954344077,29182
0.45828893286649414,0.5384065098810695,0.4951276674478846,11183,0.4447700447700448,0.5102250443552152,0.4752544141950074,10709,0.41127959563713756,0.21207133058984912,0.27984432980360213,7290,0.44654238914399286,0.43811285775789216,0.4202342949420446,0.4167421371488314,29182,0.44158439441721425,0.44654238914399286,0.43405446477117016,29182
0.45506800518134716,0.5026379325762318,0.47767155300616104,11183,0.46075790229885055,0.4791297039873004,0.46976424811169604,10709,0.3789954337899543,0.2960219478737997,0.3324091189155884,7290,0.4423959975327256,0.4316071137567174,0.42592986147911066,0.4266149733444818,29182,0.43815223733774805,0.4423959975327256,0.43848155668530914,29182
0.4560695436199938,0.5254404006080658,0.48830348610130053,11183,0.46761984861227923,0.4672705201232608,0.4674451191032228,10709,0.37734500625335,0.2897119341563786,0.3277721735081865,7290,0.4452059488725927,0.43367813282854106,0.4274742849625684,0.42784025957090327,29182,0.4406418943416561,0.4452059488725927,0.44054646050380153,29182
0.47211556043152314,0.4617723330054547,0.46688666877627594,11183,0.4401494467595919,0.5720422074890279,0.4975027408941406,10709,0.4019879796578826,0.23854595336076817,0.29941460055096414,7290,0.4464738537454595,0.43808432894966587,0.4241201646184169,0.42126800340712683,29182,0.4428661883818847,0.4464738537454595,0.43628548102175907,29182
0.4508618913536158,0.5870517750156488,0.5100217526413923,11183,0.4779957312735034,0.43916332057148194,0.45775744598014406,10709,0.3971141781681305,0.26049382716049385,0.31461232604373757,7290,0.4512027962442602,0.44199060026508324,0.42890297424920815,0.4274638415550913,29182,0.4473924739929102,0.4512027962442602,0.44202664675652453,29182
0.44381730893992477,0.6117320933559868,0.514418919427003,11183,0.47503717867006584,0.41759267905500047,0.4444665308353625,10709,0.39641708773541573,0.23676268861454047,0.2964616970113363,7290,0.4468165307381262,0.4384238584484688,0.4220291536751759,0.418449049091234,29182,0.44343303001316203,0.4468165307381262,0.43430006942227106,29182
0.4677548835964678,0.4689260484664223,0.4683397338572832,11183,0.45909016527573226,0.5239518162293398,0.489381187039379,10709,0.38197947469125065,0.3012345679012346,0.3368356469054375,7290,0.4472277431293263,0.43627484118781684,0.43137081086566553,0.4315188559340332,29182,0.4431474817934457,0.4472277431293263,0.44321013781342433,29182
0.45825342970939664,0.5555754269873916,0.5022432399660481,11183,0.4811594202898551,0.4650294145111588,0.4729569305285151,10709,0.38604474781949183,0.2792866941015089,0.3241006049028971,7290,0.45332739359879376,0.4418191992729145,0.4332971785333531,0.4331002584658201,29182,0.44862074388075995,0.45332739359879376,0.4469938774351417,29182
0.4673300457907714,0.4745595993919342,0.4709170770664182,11183,0.45553711169077543,0.5381454851059856,0.4934075342465753,10709,0.38859903381642513,0.2758573388203018,0.3226634576815082,7290,0.4482557741073264,0.437155397099324,0.42952080777274054,0.42899602299816725,29182,0.44333444546968853,0.4482557741073264,0.44213499977995085,29182
0.4608257356756356,0.55593311276044,0.5039312636783659,11183,0.4774478481488442,0.474460733962088,0.47594960423399374,10709,0.38165973460091107,0.2643347050754458,0.31234297755085505,7290,0.4531903228017271,0.43997777280846356,0.43157618393265795,0.4307412818210716,29182,0.4471490190229336,0.4531903228017271,0.4458017935646199,29182
0.45508474576271185,0.5762317803809354,0.5085427928816636,11183,0.4753170731707317,0.4549444392567,0.46490767689298157,10709,0.3996227996647108,0.2615912208504801,0.3161996352180401,7290,0.45312178740319375,0.4433415395327181,0.4309224801627051,0.4298833683308951,29182,0.4486544259476909,0.45312178740319375,0.4444803545124424,29182
0.45607593182762923,0.5886613609943665,0.5139555763750635,11183,0.4754224270353303,0.4624147912970399,0.46882840236686385,10709,0.40650969529085873,0.24156378600823045,0.3030459473412494,7290,0.4556233294496608,0.4460026847179394,0.43087997943321227,0.4286099753610589,29182,0.45079335190939923,0.4556233294496608,0.44470747473328726,29182
0.4772707366208286,0.48725744433515156,0.48221238938053096,11183,0.45552340678091846,0.5733495190960874,0.5076897635191004,10709,0.4101726551563229,0.2411522633744856,0.30373185901865923,7290,0.45737098211226096,0.4476555995193567,0.4339197422685748,0.4312113373060969,29182,0.4525281840496599,0.45737098211226096,0.4469753985406946,29182
0.46130952380952384,0.5405526245193597,0.49779717544365304,11183,0.46784495581415697,0.49929965449621816,0.4830608004336435,10709,0.39255753925575393,0.2503429355281207,0.30572074713125047,7290,0.45291618120759375,0.44057067295981156,0.4300650715145662,0.4288595743361823,29182,0.44653281124495103,0.45291618120759375,0.4444064207873715,29182
0.47095803081282095,0.4756326567110793,0.47328380121902386,11183,0.454449710373881,0.5641049584461668,0.5033747187734355,10709,0.40108813928182807,0.25281207133058986,0.3101388304585612,7290,0.45243643341786033,0.44216529348951,0.4308498954959454,0.4289324501503402,29182,0.44744562203886623,0.45243643341786033,0.4435708548564175,29182
0.46476471044267,0.536081552356255,0.49788223569470974,11183,0.46525063721325405,0.5113455971612663,0.4872102851550337,10709,0.4030578329270995,0.249519890260631,0.3082267220198254,7290,0.4554177232540607,0.4443577268610079,0.4323156799260508,0.43110641428985624,29182,0.449527943007185,0.4554177232540607,0.4465877866158496,29182
0.4554032039098561,0.5999284628453904,0.5177696314875555,11183,0.47989586346543245,0.4647492763096461,0.47220113851992407,10709,0.3978916401078696,0.22263374485596707,0.2855132377517811,7290,0.45606880954012746,0.44439690249438607,0.4291038280036678,0.4251613359197535,29182,0.45002429194577503,0.45606880954012746,0.44302690989465027,29182
0.4676002651640703,0.5046052043279978,0.48539847748483933,11183,0.4708377518557794,0.5389858997105239,0.5026123301985371,10709,0.39505664263645723,0.26310013717421127,0.315850144092219,7290,0.4568912343225276,0.44449821988543564,0.435563747070911,0.43462031725853184,29182,0.4506661015274181,0.4568912343225276,0.449360364890733,29182
0.4720680393912265,0.471519270321023,0.47179349528027553,11183,0.46158000308594355,0.5586889532169204,0.5055130750707617,10709,0.38792079207920793,0.26872427983539093,0.3175040518638574,7290,0.4528476458090604,0.44052294485212595,0.4329775011244448,0.43160354073829826,29182,0.4471982630325845,0.4528476458090604,0.44562438204165683,29182
0.4594730780305212,0.5707770723419476,0.5091126620139581,11183,0.4757562076749436,0.49201606125688674,0.48374954094748446,10709,0.40640569395017795,0.23497942386831275,0.29778357235984354,7290,0.4579878006990611,0.4472116598852142,0.432590852489049,0.4302152584404287,29182,0.45219169928391084,0.4579878006990611,0.44701264395216106,29182
